03-03-2019 23:46:18 [restartedMain] {50} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Starting JabutiGcpApplication on DESKTOP-8MH68BF with PID 10796 (C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP)
03-03-2019 23:46:18 [restartedMain] {675} INFO  b.c.p.jabutigpc.JabutiGcpApplication - No active profile set, falling back to default profiles: default
03-03-2019 23:49:09 [restartedMain] {50} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Starting JabutiGcpApplication on DESKTOP-8MH68BF with PID 12344 (C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP)
03-03-2019 23:49:09 [restartedMain] {675} INFO  b.c.p.jabutigpc.JabutiGcpApplication - No active profile set, falling back to default profiles: default
03-03-2019 23:49:16 [restartedMain] {59} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Started JabutiGcpApplication in 6.767 seconds (JVM running for 8.609)
03-03-2019 23:51:47 [restartedMain] {50} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Starting JabutiGcpApplication on DESKTOP-8MH68BF with PID 12344 (C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP)
03-03-2019 23:51:47 [restartedMain] {675} INFO  b.c.p.jabutigpc.JabutiGcpApplication - No active profile set, falling back to default profiles: default
03-03-2019 23:51:49 [restartedMain] {59} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Started JabutiGcpApplication in 2.033 seconds (JVM running for 162.281)
03-03-2019 23:52:55 [restartedMain] {50} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Starting JabutiGcpApplication on DESKTOP-8MH68BF with PID 20016 (C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP)
03-03-2019 23:52:55 [restartedMain] {675} INFO  b.c.p.jabutigpc.JabutiGcpApplication - No active profile set, falling back to default profiles: default
03-03-2019 23:53:02 [restartedMain] {59} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Started JabutiGcpApplication in 7.184 seconds (JVM running for 8.993)
03-03-2019 23:57:13 [restartedMain] {50} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Starting JabutiGcpApplication on DESKTOP-8MH68BF with PID 19700 (C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACE\Jabuti-GCP)
03-03-2019 23:57:13 [restartedMain] {675} INFO  b.c.p.jabutigpc.JabutiGcpApplication - No active profile set, falling back to default profiles: default
03-03-2019 23:57:19 [restartedMain] {59} INFO  b.c.p.jabutigpc.JabutiGcpApplication - Started JabutiGcpApplication in 6.663 seconds (JVM running for 8.367)
